Date,Peak Load (MW),Peak Load Hour,Wind @ Peak Load (MW),Max Wind Output (MW),Max Wind Time,Penetration @ Max Wind (%),Source_File,Curtailment Proxy (MW),Wind Utilization % @ Peak,Year,Month,DayOfWeek,Is_Weekend,Load-Wind Ratio,High Wind Day,Curtailment Severity
2012-01-30,37501.0,8.0,5715.0,6397.0,23:35:00,23.81,ERCOTWindIntegrationReport_2012.xlsx,682.0,89.34,2012,1,0,0,6.5607067879636105,1,Low
2012-01-31,33875.0,20.0,1573.0,6283.0,00:45:00,25.05,ERCOTWindIntegrationReport_2012.xlsx,4710.0,25.04,2012,1,1,0,21.521601016518424,0,Medium
2012-02-01,34894.0,20.0,657.0,2901.0,10:40:00,11.47,ERCOTWindIntegrationReport_2012.xlsx,2244.0,22.65,2012,2,2,0,53.03039513677812,0,Medium
2012-02-02,34212.0,20.0,5965.0,7048.0,22:40:00,23.98,ERCOTWindIntegrationReport_2012.xlsx,1083.0,84.63,2012,2,3,0,5.734495474354676,1,Low
2012-02-03,33733.0,19.0,3970.0,6862.0,00:53:00,27.32,ERCOTWindIntegrationReport_2012.xlsx,2892.0,57.85,2012,2,4,0,8.494837572399899,0,Medium
2012-02-04,35768.0,22.0,946.0,5386.0,01:40:00,19.84,ERCOTWindIntegrationReport_2012.xlsx,4440.0,17.56,2012,2,5,1,37.76979936642027,0,Medium
2012-02-05,35768.0,22.0,946.0,7048.0,22:40:00,23.98,ERCOTWindIntegrationReport_2012.xlsx,6102.0,13.42,2012,2,6,1,37.76979936642027,0,High
2012-02-06,40442.0,8.0,336.0,3166.0,23:59:00,10.82,ERCOTWindIntegrationReport_2012.xlsx,2830.0,10.61,2012,2,0,0,120.00593471810089,0,Medium
2012-02-07,37034.0,8.0,256.0,5448.0,21:04:00,15.9,ERCOTWindIntegrationReport_2012.xlsx,5192.0,4.7,2012,2,1,0,144.1011673151751,0,High
2012-02-08,38126.0,20.0,719.0,5118.0,00:03:00,17.95,ERCOTWindIntegrationReport_2012.xlsx,4399.0,14.05,2012,2,2,0,52.952777777777776,0,Medium
2012-02-09,40894.0,8.0,4035.0,4774.0,11:00:00,13.24,ERCOTWindIntegrationReport_2012.xlsx,739.0,84.52,2012,2,3,0,10.132309217046581,1,Low
2012-02-10,36107.0,8.0,2383.0,4270.0,00:00:00,14.87,ERCOTWindIntegrationReport_2012.xlsx,1887.0,55.81,2012,2,4,0,15.145553691275168,0,Low
2012-02-11,40419.0,10.0,6300.0,6368.0,10:03:00,15.86,ERCOTWindIntegrationReport_2012.xlsx,68.0,98.93,2012,2,5,1,6.414696079987303,1,None
2012-02-12,42027.0,20.0,1971.0,3116.0,01:45:00,8.66,ERCOTWindIntegrationReport_2012.xlsx,1145.0,63.25,2012,2,6,1,21.31186612576065,0,Low
2012-02-13,42036.0,8.0,3223.0,4443.0,14:26:00,12.28,ERCOTWindIntegrationReport_2012.xlsx,1220.0,72.54,2012,2,0,0,13.038461538461538,0,Low
2012-02-14,37569.0,8.0,2966.0,4346.0,22:56:00,15.02,ERCOTWindIntegrationReport_2012.xlsx,1380.0,68.25,2012,2,1,0,12.662285136501517,0,Low
2012-02-15,34264.0,20.0,1275.0,6460.0,12:56:00,19.64,ERCOTWindIntegrationReport_2012.xlsx,5185.0,19.74,2012,2,2,0,26.852664576802507,0,High
2012-02-16,35365.0,20.0,2117.0,4472.0,03:58:00,17.77,ERCOTWindIntegrationReport_2012.xlsx,2355.0,47.34,2012,2,3,0,16.697355996222853,0,Medium
2012-02-17,34483.0,8.0,441.0,1947.0,00:28:00,7.16,ERCOTWindIntegrationReport_2012.xlsx,1506.0,22.65,2012,2,4,0,78.0158371040724,0,Low
2012-02-18,34386.0,20.0,2564.0,3419.0,12:36:00,10.61,ERCOTWindIntegrationReport_2012.xlsx,855.0,74.99,2012,2,5,1,13.405847953216375,0,Low
2012-02-19,32505.0,20.0,4938.0,6888.0,22:35:00,22.6,ERCOTWindIntegrationReport_2012.xlsx,1950.0,71.69,2012,2,6,1,6.581291759465479,0,Low
2012-02-20,34798.0,8.0,5731.0,6532.0,05:04:00,22.36,ERCOTWindIntegrationReport_2012.xlsx,801.0,87.74,2012,2,0,0,6.07083042568039,1,Low
2012-02-21,35978.0,8.0,2513.0,6271.0,22:35:00,21.26,ERCOTWindIntegrationReport_2012.xlsx,3758.0,40.07,2012,2,1,0,14.311058074781226,0,Medium
2012-02-22,35579.0,20.0,4989.0,6067.0,22:48:00,20.31,ERCOTWindIntegrationReport_2012.xlsx,1078.0,82.23,2012,2,2,0,7.130060120240481,1,Low
2012-02-23,35431.0,20.0,5824.0,6276.0,23:28:00,22.39,ERCOTWindIntegrationReport_2012.xlsx,452.0,92.8,2012,2,3,0,6.082575107296138,1,None
2012-02-24,33439.0,20.0,971.0,6139.0,00:06:00,23.02,ERCOTWindIntegrationReport_2012.xlsx,5168.0,15.82,2012,2,4,0,34.4022633744856,0,High
2012-02-25,34150.0,9.0,5182.0,5976.0,23:13:00,19.78,ERCOTWindIntegrationReport_2012.xlsx,794.0,86.71,2012,2,5,1,6.588848157437777,1,Low
2012-02-26,32059.0,9.0,5583.0,6315.0,21:10:00,20.58,ERCOTWindIntegrationReport_2012.xlsx,732.0,88.41,2012,2,6,1,5.741224928366762,1,Low
2012-02-27,33726.0,20.0,4375.0,5999.0,00:30:00,24.54,ERCOTWindIntegrationReport_2012.xlsx,1624.0,72.93,2012,2,0,0,7.707038391224863,0,Low
2012-02-28,35150.0,20.0,6143.0,6725.0,13:40:00,20.5,ERCOTWindIntegrationReport_2012.xlsx,582.0,91.35,2012,2,1,0,5.721028645833333,1,Low
2012-02-29,35447.0,20.0,3330.0,6236.0,23:35:00,22.76,ERCOTWindIntegrationReport_2012.xlsx,2906.0,53.4,2012,2,2,0,10.64154908435905,0,Medium
2012-03-01,36019.0,20.0,6468.0,6894.0,20:08:00,19.34,ERCOTWindIntegrationReport_2012.xlsx,426.0,93.82,2012,3,3,0,5.567939403308085,1,None
2012-03-02,35201.0,16.0,625.0,6264.0,00:00:00,22.8,ERCOTWindIntegrationReport_2012.xlsx,5639.0,9.98,2012,3,4,0,56.23162939297124,0,High
2012-03-03,30704.0,20.0,1516.0,5289.0,16:27:00,18.87,ERCOTWindIntegrationReport_2012.xlsx,3773.0,28.66,2012,3,5,1,20.23994726433751,0,Medium
2012-03-04,31319.0,20.0,1673.0,3903.0,06:23:00,13.7,ERCOTWindIntegrationReport_2012.xlsx,2230.0,42.86,2012,3,6,1,18.709080047789726,0,Medium
2012-03-05,33755.0,20.0,6763.0,7153.0,22:06:00,23.96,ERCOTWindIntegrationReport_2012.xlsx,390.0,94.55,2012,3,0,0,4.990390301596689,1,None
2012-03-06,33909.0,20.0,7166.0,7403.0,06:55:00,24.02,ERCOTWindIntegrationReport_2012.xlsx,237.0,96.8,2012,3,1,0,4.731268313101716,1,None
2012-03-07,34880.0,20.0,6951.0,7599.0,20:41:00,22.08,ERCOTWindIntegrationReport_2012.xlsx,648.0,91.47,2012,3,2,0,5.017261219792865,1,Low
2012-03-08,36924.0,20.0,6807.0,7559.0,15:50:00,21.53,ERCOTWindIntegrationReport_2012.xlsx,752.0,90.05,2012,3,3,0,5.423619271445358,1,Low
2012-03-09,37439.0,20.0,1995.0,6899.0,04:04:00,25.5,ERCOTWindIntegrationReport_2012.xlsx,4904.0,28.92,2012,3,4,0,18.757014028056112,0,Medium
2012-03-10,34334.0,11.0,358.0,1480.0,00:00:00,4.86,ERCOTWindIntegrationReport_2012.xlsx,1122.0,24.19,2012,3,5,1,95.63788300835654,0,Low
2012-03-11,30461.0,21.0,4600.0,5589.0,22:04:00,19.04,ERCOTWindIntegrationReport_2012.xlsx,989.0,82.3,2012,3,6,1,6.620517278852423,1,Low
2012-03-12,34292.0,21.0,2949.0,5693.0,02:25:00,24.18,ERCOTWindIntegrationReport_2012.xlsx,2744.0,51.8,2012,3,0,0,11.624406779661017,0,Medium
2012-03-13,35411.0,21.0,5551.0,6399.0,22:21:00,19.4,ERCOTWindIntegrationReport_2012.xlsx,848.0,86.75,2012,3,1,0,6.378061959654179,1,Low
2012-03-14,35872.0,17.0,3878.0,6503.0,23:59:00,22.71,ERCOTWindIntegrationReport_2012.xlsx,2625.0,59.63,2012,3,2,0,9.247744263985563,0,Medium
2012-03-15,37286.0,17.0,3479.0,6511.0,00:00:00,22.73,ERCOTWindIntegrationReport_2012.xlsx,3032.0,53.43,2012,3,3,0,10.714367816091954,0,Medium
2012-03-16,37003.0,16.0,6821.0,7006.0,12:10:00,19.97,ERCOTWindIntegrationReport_2012.xlsx,185.0,97.36,2012,3,4,0,5.424069187921431,1,None
2012-03-17,34448.0,21.0,6810.0,7510.0,17:01:00,22.02,ERCOTWindIntegrationReport_2012.xlsx,700.0,90.68,2012,3,5,1,5.057700778152988,1,Low
2012-03-18,35716.0,21.0,7680.0,7917.0,16:13:00,23.73,ERCOTWindIntegrationReport_2012.xlsx,237.0,97.01,2012,3,6,1,4.649915375602135,1,None
2012-03-19,37433.0,16.0,5936.0,7332.0,00:09:00,25.81,ERCOTWindIntegrationReport_2012.xlsx,1396.0,80.96,2012,3,0,0,6.30503621357588,1,Low
2012-03-20,33048.0,21.0,2812.0,5108.0,15:15:00,16.11,ERCOTWindIntegrationReport_2012.xlsx,2296.0,55.05,2012,3,1,0,11.748311411304657,0,Medium
2012-03-21,33138.0,21.0,3293.0,5758.0,14:54:00,18.26,ERCOTWindIntegrationReport_2012.xlsx,2465.0,57.19,2012,3,2,0,10.060109289617486,0,Medium
2012-03-22,34562.0,21.0,2424.0,5747.0,08:08:00,18.33,ERCOTWindIntegrationReport_2012.xlsx,3323.0,42.18,2012,3,3,0,14.252371134020619,0,Medium
2012-03-23,35501.0,18.0,425.0,3169.0,23:59:00,11.6,ERCOTWindIntegrationReport_2012.xlsx,2744.0,13.41,2012,3,4,0,83.33568075117371,0,Medium
2012-03-24,36050.0,18.0,764.0,5647.0,23:56:00,20.08,ERCOTWindIntegrationReport_2012.xlsx,4883.0,13.53,2012,3,5,1,47.12418300653595,0,Medium
2012-03-25,38224.0,18.0,3472.0,5684.0,00:04:00,20.5,ERCOTWindIntegrationReport_2012.xlsx,2212.0,61.08,2012,3,6,1,11.006046645551397,0,Medium
2012-03-26,41287.0,17.0,5948.0,6377.0,23:59:00,22.1,ERCOTWindIntegrationReport_2012.xlsx,429.0,93.27,2012,3,0,0,6.9401580097495374,1,None
2012-03-27,38881.0,17.0,2553.0,7071.0,21:16:00,18.79,ERCOTWindIntegrationReport_2012.xlsx,4518.0,36.11,2012,3,1,0,15.223570869224746,0,Medium
2012-03-28,37746.0,17.0,2860.0,6099.0,23:38:00,20.57,ERCOTWindIntegrationReport_2012.xlsx,3239.0,46.89,2012,3,2,0,13.193289059769311,0,Medium
2012-03-29,37894.0,17.0,1926.0,6494.0,22:37:00,19.53,ERCOTWindIntegrationReport_2012.xlsx,4568.0,29.66,2012,3,3,0,19.66476388168137,0,Medium
2012-03-30,41637.0,17.0,1985.0,6036.0,02:29:00,23.3,ERCOTWindIntegrationReport_2012.xlsx,4051.0,32.89,2012,3,4,0,20.96525679758308,0,Medium
2012-03-31,42711.0,18.0,1099.0,5422.0,23:59:00,17.16,ERCOTWindIntegrationReport_2012.xlsx,4323.0,20.27,2012,3,5,1,38.82818181818182,0,Medium
2012-04-01,43348.0,18.0,4679.0,7533.0,22:40:00,20.62,ERCOTWindIntegrationReport_2012.xlsx,2854.0,62.11,2012,4,6,1,9.262393162393163,0,Medium
2012-04-02,43045.0,17.0,3344.0,7061.0,00:07:00,22.55,ERCOTWindIntegrationReport_2012.xlsx,3717.0,47.36,2012,4,0,0,12.868460388639761,0,Medium
2012-04-03,41238.0,17.0,3621.0,3784.0,17:00:00,9.19,ERCOTWindIntegrationReport_2012.xlsx,163.0,95.69,2012,4,1,0,11.385422418553285,1,None
2012-04-04,40477.0,18.0,2673.0,3556.0,00:12:00,12.24,ERCOTWindIntegrationReport_2012.xlsx,883.0,75.17,2012,4,2,0,15.137247569184742,0,Low
2012-04-05,43024.0,18.0,444.0,4224.0,23:22:00,13.11,ERCOTWindIntegrationReport_2012.xlsx,3780.0,10.51,2012,4,3,0,96.68314606741573,0,Medium
2012-04-06,40707.0,17.0,4748.0,6847.0,22:15:00,19.71,ERCOTWindIntegrationReport_2012.xlsx,2099.0,69.34,2012,4,4,0,8.571699305116868,0,Medium
2012-04-07,40008.0,17.0,1877.0,6715.0,00:00:00,22.35,ERCOTWindIntegrationReport_2012.xlsx,4838.0,27.95,2012,4,5,1,21.303514376996805,0,Medium
2012-04-08,35019.0,21.0,1081.0,3037.0,01:02:00,10.91,ERCOTWindIntegrationReport_2012.xlsx,1956.0,35.59,2012,4,6,1,32.365064695009245,0,Low
2012-04-09,40748.0,17.0,3668.0,4407.0,17:57:00,10.93,ERCOTWindIntegrationReport_2012.xlsx,739.0,83.23,2012,4,0,0,11.106023439629327,1,Low
2012-04-10,44026.0,17.0,1798.0,4476.0,23:34:00,14.17,ERCOTWindIntegrationReport_2012.xlsx,2678.0,40.17,2012,4,1,0,24.47248471372985,0,Medium
2012-04-11,43872.0,17.0,3947.0,5889.0,18:39:00,14.08,ERCOTWindIntegrationReport_2012.xlsx,1942.0,67.02,2012,4,2,0,11.112462006079028,0,Low
2012-04-12,41146.0,17.0,6629.0,7750.0,18:35:00,19.44,ERCOTWindIntegrationReport_2012.xlsx,1121.0,85.54,2012,4,3,0,6.206033182503771,1,Low
